top_two,event_id,date_num,date,4/5_C_Good_Stuff,Ad_Nauseam,Affinity,Aura_Hexproof,BUG,Bant,Birthing_Pod,Bloom_Titan,Blue_Moon,Boremandos,Boros,Delverless_RUG,Dredgevine,Elemental_Combo,Faeries,Genesis_Wave,Gift_Control,Gruul_Aggro,Hatebear,Hive_Mind,Infect,Instant_Reanimator,Jeskai_Ascendancy,Jund,Junk,Living_End,Loam,Martyr_Life,Merfolk,Mono_Black_Control,Orzhov_Midrange,Other_Aggro,Other_Combo,Other_Control,RUG_Aggro,Red_Deck_Wins,Scapeshift,Scepter,Sunny_Side_Up,Teaching_Control,The_Rock,Tokens,Twin_Exarch,UB_Delver,UR_Aggro,UR_Storm,UW_Control,UWx_Midrange,UrzaTron,Valakut,Zoo
1,9267,42067,3/4/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9158,42058,2/23/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9150,42057,2/22/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9140,42055,2/20/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9149,42055,2/20/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9149,42055,2/20/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9149,42055,2/20/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9103,42050,2/15/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9086,42042,2/7/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9052,42039,2/4/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9049,42038,2/3/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8994,42030,1/26/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8980,42028,1/24/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8919,42015,1/11/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8900,42013,1/9/2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8811,41999,12/26/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8719,41985,12/12/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8719,41985,12/12/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8719,41985,12/12/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8752,41980,12/7/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8618,41968,11/25/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8600,41963,11/20/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8517,41959,11/16/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8507,41957,11/14/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8469,41952,11/9/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8461,41950,11/7/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8416,41945,11/2/2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
