deck.href,deck.text,player.href,player.text,event.href,event.text,rank,date
http://www.mtgtop8.com/event?e=7858&d=245247&f=MO,Affinity,http://www.mtgtop8.com/search?player=Chris+Kroneberger,Chris Kroneberger,http://www.mtgtop8.com/event?e=7858&f=MO,"PTQ Khans of Tarkir (Monroeville, Pennsylvania)",10,5/7/2014
http://www.mtgtop8.com/event?e=7892&d=245405&f=MO,Affinity,http://www.mtgtop8.com/search?player=John+Cuvelier,John Cuvelier,http://www.mtgtop8.com/event?e=7892&f=MO,"PTQ Khans of Tarkir (Maitland, Florida)",10,5/7/2014
http://www.mtgtop8.com/event?e=7702&d=244249&f=MO,Affinity,http://www.mtgtop8.com/search?player=cdegan,cdegan,http://www.mtgtop8.com/event?e=7702&f=MO,MTGO Modern Premier (#7242013),2,30/06/14
http://www.mtgtop8.com/event?e=7725&d=244460&f=MO,Affinity,http://www.mtgtop8.com/search?player=pwncakes,pwncakes,http://www.mtgtop8.com/event?e=7725&f=MO,MTGO Modern Daily (#7242048),5,30/06/14
http://www.mtgtop8.com/event?e=7710&d=244325&f=MO,Affinity,http://www.mtgtop8.com/search?player=cdegan,cdegan,http://www.mtgtop8.com/event?e=7710&f=MO,MTGO Modern Premier (#7242002),6,29/06/14
http://www.mtgtop8.com/event?e=7709&d=244309&f=MO,Affinity,http://www.mtgtop8.com/search?player=Garpenlol,Garpenlol,http://www.mtgtop8.com/event?e=7709&f=MO,MTGO Modern Premier (#7241958),10,28/06/14
http://www.mtgtop8.com/event?e=7709&d=244322&f=MO,Affinity,http://www.mtgtop8.com/search?player=Ryuji,Ryuji,http://www.mtgtop8.com/event?e=7709&f=MO,MTGO Modern Premier (#7241958),14,28/06/14
http://www.mtgtop8.com/event?e=7771&d=244744&f=MO,Affinity,http://www.mtgtop8.com/search?player=Ian+H,Ian H.,http://www.mtgtop8.com/event?e=7771&f=MO,"PTQ Khans of Tarkir (Boston, Massachusetts)",10,28/06/14
http://www.mtgtop8.com/event?e=7772&d=244748&f=MO,Affinity,http://www.mtgtop8.com/search?player=Blake+McCutcheon,Blake McCutcheon,http://www.mtgtop8.com/event?e=7772&f=MO,"PTQ Khans of Tarkir (Little Rock, Arkansas)",2,28/06/14
http://www.mtgtop8.com/event?e=7801&d=244935&f=MO,Affinity,http://www.mtgtop8.com/search?player=Rolands+Lavzums,Rolands Lavzums,http://www.mtgtop8.com/event?e=7801&f=MO,TMVgames.com $5k,12,28/06/14
http://www.mtgtop8.com/event?e=7801&d=244938&f=MO,Affinity,http://www.mtgtop8.com/search?player=Dean+Homan+,Dean Homan,http://www.mtgtop8.com/event?e=7801&f=MO,TMVgames.com $5k,10,28/06/14
http://www.mtgtop8.com/event?e=7891&d=245397&f=MO,Affinity,http://www.mtgtop8.com/search?player=Alex+Bertoncini,Alex Bertoncini,http://www.mtgtop8.com/event?e=7891&f=MO,"PTQ Khans of Tarkir (Richmond, Kentucky)",3,28/06/14
http://www.mtgtop8.com/event?e=7891&d=245398&f=MO,Affinity,http://www.mtgtop8.com/search?player=Lukas+Parson,Lukas Parson,http://www.mtgtop8.com/event?e=7891&f=MO,"PTQ Khans of Tarkir (Richmond, Kentucky)",2,28/06/14
http://www.mtgtop8.com/event?e=7673&d=244068&f=MO,Affinity,http://www.mtgtop8.com/search?player=pwncakes,pwncakes,http://www.mtgtop8.com/event?e=7673&f=MO,MTGO Modern Daily (#7241901),1,27/06/14
http://www.mtgtop8.com/event?e=7688&d=244154&f=MO,Affinity,http://www.mtgtop8.com/search?player=lotushead666,lotushead666,http://www.mtgtop8.com/event?e=7688&f=MO,MTGO Modern Daily (#7241873),3,26/06/14
http://www.mtgtop8.com/event?e=7696&d=244220&f=MO,Affinity,http://www.mtgtop8.com/search?player=Dostov,Dostov,http://www.mtgtop8.com/event?e=7696&f=MO,MTGO Modern Daily (#7218390),3,24/06/14
http://www.mtgtop8.com/event?e=7689&d=244165&f=MO,Affinity,http://www.mtgtop8.com/search?player=F8iscruel,F8iscruel,http://www.mtgtop8.com/event?e=7689&f=MO,MTGO Modern Daily (#7218362),5,23/06/14
http://www.mtgtop8.com/event?e=7704&d=244276&f=MO,Affinity,http://www.mtgtop8.com/search?player=TyphoonBoon,TyphoonBoon,http://www.mtgtop8.com/event?e=7704&f=MO,MTGO Modern Premier (#7218327),2,23/06/14
